date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-02-01,_WORLD,803293,163748,33360,606185,570294,16227,787066,39375,19610,44913,0.3325,37215,0,1554,37821,234,1642,8118,3787,5829,0.32824725731910354,0.3419176978445866,0.02074983363341825,0.3194138578163794,0.34305022193406814,0.4266595289079229,0.33896531882617564,,12038,2111,259,46,8723,616,,,
2020-02-02,_WORLD,841383,166701,31285,643397,609465,16812,824571,44695,17743,36172,0.2842,28498,0,1231,43464,139,1448,10402,3488,2266,0.2514411044047935,0.26864876643987445,0.02137351714202256,0.1972087221731474,0.2917206148920643,0.22641509433962265,0.29443640732658216,,16787,4749,362,103,8859,394,,,
2020-02-03,_WORLD,651731,162407,26277,463047,477903,22930,628801,38942,15634,36429,0.2865,28836,0,1446,37496,307,938,8375,3730,2284,0.20035399128018924,0.20579775568737393,0.034908991558425216,0.22511170762463956,0.3075858413334119,0.2231638418079096,0.31125929567942967,0.0029,19887,3100,426,64,8841,414,,,
2020-02-04,_WORLD,589630,153774,24751,411105,420004,22218,567412,34003,13932,34402,0.2906,27817,0,1540,32463,67,265,7305,3449,2846,0.2746598542191682,0.2804167843714319,0.23872691308726557,0.21644638582652193,0.30652068798784277,0.2427022518765638,0.3092776076382634,0.0085,23898,4011,492,66,10081,619,,,
2020-02-05,_WORLD,513362,140334,21450,351578,363730,21831,491531,34247,10107,33437,0.2279,28512,0,1120,33127,131,301,5129,2515,2031,0.23138671839063882,0.24597482520526406,0.026368057361577636,0.1469719984337514,0.23451012691400547,0.2556663644605621,0.23359887535145268,0.0068,27643,3745,564,72,10573,915,,,
2020-02-06,_WORLD,546631,143481,22109,381041,396127,21451,525180,38681,14743,31195,0.276,25953,0,1070,37611,53,264,9723,2926,1777,0.3152029322146733,0.32428924745432836,0.5216462486802962,0.16737519537956178,0.30465527401296405,0.2632386799693016,0.3063994828700711,0.0027,30803,3160,634,70,11308,716,,,
2020-02-07,_WORLD,621610,153224,23413,444973,449859,21238,600372,77862,11881,31968,0.1324,25938,0,1098,76764,98,211,7223,2551,1798,0.27373417610719764,0.28821077787361365,0.003876385876281518,0.25813861930298415,0.11097700892524548,0.2459016393442623,0.10835156155061368,-0.0022,34335,3532,719,85,12548,794,,,
2020-02-08,_WORLD,561986,115343,21338,425305,398601,12736,549250,92257,12260,41340,0.1173,36326,0,1033,91224,73,423,6845,2948,1971,0.2392033073799931,0.2687642840300085,0.01857328409462282,0.15164185894574647,0.0953498860889778,0.24149377593360996,0.09328454483615978,,37069,2734,806,87,13899,1554,,,
2020-02-09,_WORLD,530811,106493,21447,402871,372149,10813,519998,46332,12343,53612,0.2104,48638,0,882,45450,14,1752,6386,2639,1552,0.25808456854030776,0.26595181675216567,0.033662369141211304,0.2501065242508607,0.18985322271857052,0.3394255874673629,0.18583097338919186,,40096,3027,906,100,16238,2343,,,
2020-02-10,_WORLD,543551,135929,24023,383599,400445,17719,525832,40980,13968,46695,0.2542,40763,0,1085,39895,29,632,8116,3332,1859,0.29402954775833207,0.30675426252309396,0.06257684190431989,0.22653266406385245,0.2597122506314027,0.2599250936329588,0.259703869749882,-0.0009,42634,2538,1013,107,18127,1487,,,
2020-02-11,_WORLD,542565,137965,23874,380726,397655,18309,524256,39005,14269,28575,0.2678,23212,0,1109,37896,45,752,7901,4170,1401,0.24459620658478984,0.26323116119111517,0.11186862902651411,0.12783395482429885,0.27959227402124337,0.25668835864063627,0.2806047433356773,0.0052,44676,2042,1113,100,16920,1361,,,
2020-02-12,_WORLD,463721,125443,20388,317890,337217,17561,446160,34163,11507,31361,0.252,25526,0,917,33246,63,650,6367,3331,1096,0.244007703224492,0.25367830306603734,0.05685690248251684,0.20624946007294273,0.2711424332344214,0.20155038759689922,0.2742741966742897,0.0045,45054,378,1118,5,18868,1989,,,
2020-02-13,_WORLD,495247,130785,20995,343467,363291,18619,476628,43060,16938,30541,0.2823,24985,0,1000,42060,19,2694,8857,3520,1848,0.22097964486229987,0.22816750115707976,0.08528500565781139,0.1706482529898334,0.3097074853216082,0.21722846441947566,0.31307646127817496,-0.0033,60207,15153,1371,253,20929,1129,,,
2020-02-14,_WORLD,394370,105841,17309,271220,287767,14982,379388,34806,13588,24791,0.2808,19936,0,837,33969,8,2535,6585,3103,1357,0.24942210331803774,0.252786038602901,0.04392279661651938,0.22121827411536538,0.2907190954135434,0.2839506172839506,0.2909347142108023,-0.0001,66691,6484,1523,152,25559,1807,,,
2020-02-15,_WORLD,382841,86034,15843,280964,268850,10321,372520,35649,8686,19219,0.1959,14965,0,955,34694,3,355,4673,2208,1447,0.21278940504761262,0.22227060705562604,0.029437297879251065,0.1876039479542944,0.1739903394606199,0.25942350332594233,0.17132480110688342,,68767,2076,1666,143,23043,1133,,,
2020-02-16,_WORLD,426473,81026,16202,329245,299976,9260,417213,73289,10155,15895,0.1217,11697,0,863,72426,10,776,4650,3240,1479,0.23520501515557904,0.24895396363036168,0.11666278962282689,0.15374251346210777,0.09976885293267841,0.25832492431886983,0.09746588693957114,,70880,2113,1770,104,29505,2839,,,
2020-02-17,_WORLD,409143,102303,17544,289296,297777,14792,394351,32856,13343,23506,0.2888,18166,0,779,32077,25,1157,7245,3571,1345,0.3148935007631431,0.32033465593666055,0.06628681414660392,0.2934836438681643,0.29048435629469055,0.2962962962962963,0.29027391289771015,0.0012,72816,1936,1868,98,25745,1686,,,
2020-02-18,_WORLD,460439,113025,17924,329490,334638,15887,444552,28804,10342,34435,0.2642,25025,0,986,27818,35,124,4772,4068,1343,0.2855550257357599,0.29215837840708264,0.021388386354381707,0.26838846172403535,0.2757168035077161,0.2877777777777778,0.27523140902383403,-0.0029,74610,1794,2008,140,35216,4035,,,
2020-02-19,_WORLD,425961,94553,16258,315150,293501,13420,412541,24039,9983,32848,0.2934,26123,0,887,23152,33,1635,4614,2743,958,0.3110072432151065,0.3308728980924727,0.006100041092655532,0.18512314292649576,0.31594122023809523,0.1841109709962169,0.32098884650668724,0.0044,75031,421,2123,115,30336,2505,,,
2020-02-20,_WORLD,359551,88239,15142,256170,246508,13348,346203,28563,8136,20518,0.2217,15864,0,1425,27138,8,152,4025,2427,1524,0.2857951995075637,0.29591123035172284,0.06864592512867956,0.1684809160746594,0.21649818034775575,0.22273781902552203,0.21627283391989274,-0.0038,75578,547,2246,123,34725,3084,,,
2020-02-21,_WORLD,510592,121047,21085,368460,353853,15540,495052,39585,13382,26714,0.2526,21510,0,1286,38299,48,672,6439,4615,1608,0.2502038742059769,0.27051073631708733,0.007255309829839078,0.15063826575078335,0.24867036324544528,0.18112049117421336,0.25125569099720957,-0.0038,76207,629,2250,4,46783,6130,,,
2020-02-22,_WORLD,543056,121272,23696,398088,377851,12135,530921,56901,11878,27018,0.1727,20988,0,1215,55686,96,627,6883,2733,1539,0.23532137657928137,0.25115729485107613,0.011812241632095589,0.1768131239703338,0.1575865580448065,0.18827361563517916,0.15663550647095642,,77968,1761,2457,207,55548,9711,,,
2020-02-23,_WORLD,721261,147023,30936,543302,496668,14462,706799,52469,13844,35455,0.2088,26438,0,1207,51262,23,802,7385,3454,2180,0.24105404954691534,0.2537288680398571,0.025741592543742264,0.20163838851994725,0.20261058426338086,0.21052631578947367,0.20229093024296388,,78291,323,2467,10,46365,3813,,,
2020-02-24,_WORLD,1194823,261102,47001,886720,846693,29693,1165130,72153,22475,52624,0.2375,42439,0,1818,70335,40,1080,12221,6691,2443,0.17555325905982708,0.1837977749470737,0.12249043054718237,0.14320806724643034,0.23940753621388317,0.22481869460112813,0.239992248938266,-0.0178,78855,564,2627,160,58382,7529,,,
2020-02-25,_WORLD,1683423,330949,63504,1288970,1264589,37356,1646067,103736,36202,60916,0.2587,50311,0,2314,101422,211,1128,21306,11631,1926,0.26174612324881313,0.26577169977907456,0.05950790720045087,0.2687036375699296,0.2585494583695738,0.1955278211128445,0.26103976163567244,-0.013,79708,853,2707,80,74262,14240,,,
2020-02-26,_WORLD,1785520,332758,65621,1387141,1329940,36891,1748629,94385,33009,66111,0.2591,56324,0,2726,91659,704,1751,21198,7773,1583,0.21319617764048585,0.22312377344397452,0.028683654699690916,0.19875376081583587,0.25072074326309035,0.2169683869224534,0.25213675213675213,-0.0014,80671,963,2767,60,86769,12782,,,
2020-02-27,_WORLD,2035774,365012,75276,1595486,1569911,41399,1994375,108288,64988,68409,0.3751,56522,0,3291,104997,8499,2013,42858,9485,2133,0.2587313110587594,0.2641978823807452,0.05572845834264114,0.26422243903965426,0.38792087608214054,0.22619836536337531,0.3938843500289166,-0.0184,82031,1360,2810,43,119178,19327,,,
2020-02-28,_WORLD,2160451,383674,77242,1699535,1676077,39591,2120860,95852,81136,79722,0.4584,67963,0,4172,91680,1755,8302,53445,13567,4067,0.26188500605846915,0.24906502416040038,0.07887834183645916,0.349347432242409,0.4976061136175306,0.2736689455148125,0.5062188757420023,-0.0082,83417,1386,2867,57,146443,28506,,,
2020-02-29,_WORLD,2137806,339203,81469,1717134,1672903,34529,2103277,118568,52917,101681,0.3086,89698,0,4377,114191,500,4170,32016,13633,2598,0.267006541304328,0.26534639923782066,0.1075884676205413,0.2989378028719533,0.31378366042902783,0.23825371965544245,0.3169467901943101,,85308,1891,2936,69,174109,20133,,,
2020-03-01,_WORLD,2023016,319374,75305,1628337,1550581,32622,1990394,106411,41602,80984,0.2811,67836,0,3692,102719,454,5696,21482,11936,2034,0.20809593201723242,0.20018720812087873,0.05470650227275196,0.2729651431703134,0.27969082662223455,0.23173327027666116,0.28164468550399324,,87689,2381,2990,54,159840,16316,,,
2020-03-02,_WORLD,2166785,379050,76631,1711104,1593362,51387,2115397,107571,44113,146503,0.2908,133003,0,3334,104237,466,3724,28824,8853,2246,0.22759246201468047,0.2257992891963764,0.09542990685154543,0.2765747050755176,0.29251503717263794,0.22060522060522061,0.29554502185148773,-0.0017,89672,1983,3079,89,181363,19127,,,
2020-03-03,_WORLD,2149910,417369,78455,1654086,1648684,56478,2093431,94301,40844,106125,0.3022,93047,0,2892,91409,340,2030,28390,8412,1672,0.2754925065968835,0.2856646979265818,0.06685590715752351,0.27385409622897505,0.31004347873228594,0.24396848842934515,0.31308766318463827,-0.0011,92265,2593,3154,75,234384,26021,,,
2020-03-04,_WORLD,2274963,434608,80213,1760142,1758442,60643,2214320,103476,52881,85693,0.3382,73055,0,2651,100825,691,1967,38646,10010,1567,0.29708564230029877,0.3148304889212057,0.056597080387679716,0.24020130398366102,0.3610208002364503,0.27116342236306024,0.3648435243139143,0.0089,94573,2308,3249,95,313025,36410,,,
2020-03-05,_WORLD,2218729,454396,85340,1678993,1720239,62849,2155880,103978,39977,124173,0.2777,109860,0,3513,100465,1166,2599,28184,6051,1977,0.2662733500027116,0.29105064828937455,0.03956042385593832,0.17385841340804417,0.28613276141654026,0.2553677478300594,0.2876095036565176,-0.0127,97384,2811,3343,94,301875,23432,,,
2020-03-06,_WORLD,2221261,459030,86605,1675626,1704439,65003,2156258,114683,37600,139751,0.2469,125047,0,2895,111788,887,5259,23564,6288,1602,0.2178571161991979,0.22958636617623365,0.1101761539481328,0.1664341161689993,0.2454325166352552,0.21560283687943263,0.24669727161558047,-0.0173,101297,3913,3454,111,380922,45776,,,
2020-03-07,_WORLD,2210472,384251,82962,1743259,1698456,45228,2165244,118762,58250,67296,0.3291,55980,0,2239,116523,609,20733,27339,7190,2379,0.2228356321733786,0.22569649071366993,0.059342119743601714,0.23112642603435118,0.3404762980023785,0.24806201550387597,0.34324898440164975,,105392,4095,3558,104,422676,35806,,,
